model_name,cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,model_runtime,dataset,subject
 => SVM,0.522,0.4827586206896552,0.23305588585017836,0.4827586206896552,0.3143544506816359,0.5,0.0,0.0,0:00:00.049793,BCICIV_II,A04T
STD_Scaler => SVM,0.519,0.625,0.6278772378516624,0.625,0.6228786926461345,0.625,0.25,0.25286086871208685,0:00:00.135826,BCICIV_I,BCICIV_calib_ds1g
PSD -> Time Domain Features -> STD_Scaler => SVM,0.519,0.475,0.474937343358396,0.475,0.474671669793621,0.475,-0.050000000000000044,-0.05006261743217589,0:00:00.022388,BCICIV_I,BCICIV_calib_ds1e
 => KNN,0.519,0.4714285714285714,0.47142273933455814,0.4714285714285714,0.47140160212255733,0.4714285714285715,-0.05714285714285716,-0.057148688939284306,0:00:00.600623,BCICIV_I,all
bandpass -> PSD => LDA,0.517,0.5714285714285714,0.5714431516636048,0.5714285714285714,0.5714067044236951,0.5714285714285714,0.1428571428571429,0.14287172234821077,0:00:26.132576,BCICIV_I,all
STD_Scaler => LDA,0.516,0.5464285714285714,0.5464878671775223,0.5464285714285714,0.5462838915470495,0.5464285714285714,0.09285714285714286,0.09291641968594223,0:01:34.953178,BCICIV_I,all
Wavelet -> Time Domain Features => SVM,0.516,0.5142857142857142,0.516014641958362,0.5142857142857142,0.5008127523464947,0.5142857142857143,0.02857142857142858,0.030250990027116165,0:23:03.095296,BCICIV_I,all
Wavelet => SVM,0.513,0.5,0.5,0.5,0.4998979383547663,0.5,0.0,0.0,0:00:03.199093,BCICIV_I,all
Wavelet => SVM,0.513,0.5,0.5,0.5,0.4998979383547663,0.5,0.0,0.0,0:00:03.199093,BCICIV_I,all
STD_Scaler => SVM,0.513,0.3620689655172414,0.3732109675314544,0.3620689655172414,0.3631354740920925,0.5519379844961241,0.15110759493670878,0.15225393693012362,0:00:00.127187,BCICIV_II,A02T
STD_Scaler => SVM,0.513,0.3620689655172414,0.3732109675314544,0.3620689655172414,0.3631354740920925,0.5519379844961241,0.15110759493670878,0.15225393693012362,0:00:00.155629,BCICIV_II,A02T
Wavelet => SVM,0.513,0.4827586206896552,0.23305588585017836,0.4827586206896552,0.3143544506816359,0.5,0.0,0.0,0:00:00.017884,BCICIV_II,A04T
Wavelet => SVM,0.513,0.4827586206896552,0.23305588585017836,0.4827586206896552,0.3143544506816359,0.5,0.0,0.0,0:00:00.017884,BCICIV_II,A04T
 => KNN,0.512,0.625,0.6278772378516624,0.625,0.6228786926461345,0.625,0.25,0.25286086871208685,0:00:00.093597,BCICIV_I,BCICIV_calib_ds1g
PSD -> Time Domain Features -> STD_Scaler => LDA,0.512,0.6,0.601010101010101,0.6,0.5989974937343359,0.6000000000000001,0.19999999999999996,0.20100756305184242,0:00:00.437421,BCICIV_I,BCICIV_calib_ds1g
STD_Scaler => KNN,0.512,0.55,0.5505050505050505,0.55,0.5488721804511277,0.55,0.09999999999999998,0.10050378152592121,0:00:00.098596,BCICIV_I,BCICIV_calib_ds1f
STD_Scaler => KNN,0.512,0.525,0.5251037450689072,0.525,0.5245087398970875,0.525,0.050000000000000044,0.05010363766125891,0:00:00.637483,BCICIV_I,all
bandpass -> PSD => SVM,0.512,0.525,0.5266666666666666,0.525,0.5174603174603176,0.525,0.050000000000000044,0.051639777949432225,0:00:00.079543,BCICIV_I,BCICIV_calib_ds1d
Wavelet => KNN,0.512,0.49642857142857144,0.4964137507044419,0.49642857142857144,0.49590776184578456,0.49642857142857144,-0.0071428571428571175,-0.007157662523036987,0:00:00.172939,BCICIV_I,all
Wavelet => KNN,0.512,0.49642857142857144,0.4964137507044419,0.49642857142857144,0.49590776184578456,0.49642857142857144,-0.0071428571428571175,-0.007157662523036987,0:00:00.172939,BCICIV_I,all
Wavelet -> Time Domain Features => SVM,0.512,0.475,0.474937343358396,0.475,0.474671669793621,0.475,-0.050000000000000044,-0.05006261743217589,0:00:00.153738,BCICIV_I,BCICIV_calib_ds1b
 => LDA,0.511,0.48928571428571427,0.48912536896069597,0.48928571428571427,0.4873961413885368,0.4892857142857143,-0.021428571428571352,-0.0215883212865237,0:01:41.152565,BCICIV_I,all
Wavelet => KNN,0.506,0.575,0.5767263427109974,0.575,0.572595851665619,0.5750000000000001,0.15000000000000002,0.1517165212272521,0:00:00.034857,BCICIV_I,BCICIV_calib_ds1d
Wavelet => KNN,0.506,0.575,0.5767263427109974,0.575,0.572595851665619,0.5750000000000001,0.15000000000000002,0.1517165212272521,0:00:00.034857,BCICIV_I,BCICIV_calib_ds1d
STD_Scaler => KNN,0.506,0.575,0.5800000000000001,0.575,0.5682539682539682,0.575,0.15000000000000002,0.15491933384829668,0:00:00.090649,BCICIV_I,BCICIV_calib_ds1b
 => LDA,0.506,0.55,0.5505050505050505,0.55,0.5488721804511277,0.5499999999999999,0.09999999999999998,0.10050378152592121,0:00:49.221770,BCICIV_I,BCICIV_calib_ds1c
Wavelet -> Time Domain Features => KNN,0.506,0.525,0.5255754475703325,0.525,0.5223130106851037,0.525,0.050000000000000044,0.05057217374241736,0:00:00.008901,BCICIV_I,BCICIV_calib_ds1d
Wavelet -> Time Domain Features => SVM,0.506,0.475,0.474937343358396,0.475,0.474671669793621,0.475,-0.050000000000000044,-0.05006261743217589,0:00:17.943815,BCICIV_I,BCICIV_calib_ds1c
bandpass -> PSD => LDA,0.506,0.475,0.47442455242966747,0.475,0.47203016970458833,0.47500000000000003,-0.050000000000000044,-0.05057217374241736,0:00:12.264653,BCICIV_I,BCICIV_calib_ds1f
STD_Scaler => KNN,0.506,0.45,0.44791666666666663,0.45,0.4444444444444445,0.45000000000000007,-0.10000000000000009,-0.10206207261596575,0:00:00.088369,BCICIV_I,BCICIV_calib_ds1d
PSD -> Time Domain Features -> STD_Scaler => KNN,0.506,0.425,0.4232736572890025,0.425,0.4217473287240729,0.42500000000000004,-0.1499999999999999,-0.1517165212272521,0:00:00.008502,BCICIV_I,BCICIV_calib_ds1g
Wavelet -> Time Domain Features => KNN,0.504,0.6206896551724138,0.6288032454361054,0.6206896551724138,0.6179705846001731,0.6238095238095237,0.2458628841607564,0.25123411544939434,0:00:00.009266,BCICIV_II,A04T
Wavelet -> Time Domain Features => KNN,0.503,0.49642857142857144,0.4964196204797708,0.49642857142857144,0.4961136424551058,0.49642857142857144,-0.0071428571428571175,-0.007151802490310841,0:00:00.038928,BCICIV_I,all
Wavelet => SVM,0.5,0.675,0.6754385964912281,0.675,0.6747967479674797,0.6749999999999999,0.35,0.35043832202523123,0:00:00.054926,BCICIV_I,BCICIV_calib_ds1g
Wavelet => SVM,0.5,0.675,0.6754385964912281,0.675,0.6747967479674797,0.6749999999999999,0.35,0.35043832202523123,0:00:00.054926,BCICIV_I,BCICIV_calib_ds1g
Wavelet => LDA,0.5,0.65,0.6515151515151515,0.65,0.6491228070175439,0.6499999999999999,0.30000000000000004,0.30151134457776363,0:00:03.406813,BCICIV_I,BCICIV_calib_ds1g
